"HolderAddress","Balance","PendingBalanceUpdate"
"0x13e638b4f89740a1c2ff45d71f71ee28101cc1dc","324.54504094719","No"
"0x14542c39b1799a5600c38222751a0809989304b8","1.44872680956739","No"
"0x18cf49357c12043e472728ef3639049bf3e76cf8","0.229357415248145","No"
"0x18fa2ac3c88112e36eff15370346f9aff3161fd1","1.20003167858918","No"
"0x19627796b318e27c333530ad67c464cfc37596ec","0.0815480097433101","No"
"0x19bc2718782f2ae9d22c66d4d364394ecad1a771","0.0388800385428186","No"
"0x1efb9f8b00b4a5dbf0f779aa032febd4b8f38a94","0.00286866520701324","No"
"0x1f6b3e640f767a0aef424efda7e906e65099827b","0.203762955606524","No"
"0x30916795fd3f28fa1356921bc83714927f2063fb","535.690436038801","No"
"0x30eea1e603b556eef164b4554bb6e7471b3e70f7","2.76915165196451","No"
"0x31b5e01dca4c7f5f8c9d8c9c18a0f89e9faed624","2.24040948540425","No"
"0x361c662e5be9939531efebbb1e32218909de6522","7.45598398204244","No"
"0x36eca342e85d3d8c3cdd02e4e0f78d477e186d91","3.01813272019178","No"
"0x3919ff56fadc4b2d53b63c0f459b9b9669e96132","0.00404750316996069","No"
"0x39580ccc1058d7ec7f7e91602a9e4db301bba898","0.29619955424343","No"
"0x3bca37e598f681c7253669be226b101067f3da35","0.077854420650278","No"
"0x40d80168b6663700b6ae55d71a8c2cf61d0c1225","0.0082417015771033","No"
"0x43e79060df28fed5216327f85e2c4685dec19caa","1.1936381301777","No"
"0x4c31c2236004884c1d819096343c827c6c32a938","3.109379848216","No"
"0x50f461f471e7dce973e27f0e319ebe868135d764","1.19642625345847","No"
"0x527a3ab8f1ff9172fd7d380863c54edec60bd41d","0.68969737418807","No"
"0x593b97a98a2e6a2b7b5ac04149c28e0fc0918904","0.000848061753250138","No"
"0x5e14499a3091536100b2ae99bc609c46ff81d412","0.850903415196293","No"
"0x605acc13c07cb2de5261dc64d315857fde7d5c5c","2.3922268293957E-05","No"
"0x60959ed8307ee2b0d04306f6b319aeee8864f1ee","55.3437141882707","No"
"0x61e3f6f015dd36e6cee8adcc8bb1407c2f7198ed","0.116540514113253","No"
"0x669412cf0feb7690a6b9825ac2ac9dc72a6803db","0.0336995649130882","No"
"0x6eb516242b569ed1108e66180086b414eeb6f942","0.993118663407041","No"
"0x77809f8fe1e0aa3b0d0367637d1e7a35273b8a2f","0.440414124569027","No"
"0x79fe2c7e6a300aa6533cd5d53a02b6da335422be","0.815897058319438","No"
"0x7b4b04ce4760cc87356e8a4a69abf17cc9575f8a","2.89948359820284","No"
"0x7d2c110943d00c8f2dc214819416de8328dca724","0.201363138723089","No"
